episode,steps,actions,episode_reward
1,1989,1155,1e-08
2,442,251,1e-08
3,515,300,1e-08
4,1840,1044,1e-08
5,603,366,1e-08
6,105,78,1e-08
7,20,12,1e-08
8,117,77,1e-08
9,1723,1024,1e-08
10,1314,690,1e-08
11,306,158,1e-08
12,414,201,1e-08
13,380,213,1e-08
14,232,108,1e-08
15,525,274,1e-08
16,311,150,1e-08
17,642,338,1e-08
18,138,70,1e-08
19,569,290,1e-08
20,701,338,1e-08
21,342,178,1e-08
22,39,23,1e-08
23,677,345,1e-08
24,536,285,1e-08
25,586,297,1e-08
26,880,446,1e-08
27,444,246,1e-08
28,556,298,1e-08
29,681,316,1e-08
30,525,162,1e-08
31,423,162,1e-08
32,1157,196,1e-08
33,268,111,1e-08
34,170,32,1e-08
35,972,258,1e-08
36,607,49,1e-08
37,454,159,1e-08
38,800,87,1e-08
39,398,44,1e-08
40,248,23,1e-08
41,19,1,1e-08
42,251,21,1e-08
43,1353,357,1e-08
44,1558,362,1e-08
45,531,145,1e-08
46,1008,58,1e-08
47,608,128,1e-08
48,113,16,1e-08
49,910,210,1e-08
50,319,61,1e-08
51,19,1,1e-08
52,298,9,1e-08
53,297,8,1e-08
54,824,122,1e-08
55,114,34,1e-08
56,805,93,1e-08
57,139,27,1e-08
58,53,20,1e-08
59,724,392,1e-08
60,459,105,1e-08
61,494,142,1e-08
62,3016,610,1e-08
63,273,90,1e-08
64,1970,450,1e-08
65,196,84,1e-08
66,138,24,1e-08
67,207,66,1e-08
68,19,3,1e-08
69,253,64,1e-08
70,944,173,1e-08
71,512,32,1e-08
72,252,43,1e-08
73,1706,140,1e-08
74,223,58,1e-08
75,495,142,1e-08
76,1100,312,1e-08
77,759,353,1e-08
78,494,188,1e-08
79,479,115,1e-08
80,642,27,1e-08
81,915,186,1e-08
82,862,253,1e-08
83,55,9,1e-08
84,256,69,1e-08
85,197,37,1e-08
86,2089,578,1e-08
87,158,39,1e-08
88,497,141,1e-08
89,861,452,1e-08
90,18,12,1e-08
91,160,60,1e-08
92,548,91,1e-08
93,1412,388,1e-08
94,1589,445,1e-08
95,251,8,1e-08
96,70,41,1e-08
97,193,78,1e-08
98,826,190,1e-08
99,112,12,1e-08
100,51,13,1e-08
101,657,43,1e-08
102,70,15,1e-08
103,819,70,1e-08
104,1467,408,1e-08
105,562,129,1e-08
106,19,9,1e-08
107,301,10,1e-08
108,701,153,1e-08
109,785,143,1e-08
110,454,74,1e-08
111,38,26,1e-08
112,51,24,1e-08
113,1023,280,1e-08
114,391,220,1e-08
115,201,54,1e-08
116,465,51,1e-08
117,116,51,1e-08
118,217,25,1e-08
119,447,119,1e-08
120,710,148,1e-08
121,871,290,1e-08
122,292,155,1e-08
123,17,11,1e-08
124,165,80,1e-08
125,1215,857,1e-08
126,1689,558,1e-08
127,301,20,1e-08
128,293,168,1e-08
129,52,41,1e-08
130,222,126,1e-08
131,71,51,1e-08
132,1496,494,1e-08
133,1010,436,1e-08
134,837,343,1e-08
135,305,51,1e-08
136,663,64,1e-08
137,913,260,1e-08
138,579,289,1e-08
139,172,22,1e-08
140,32,13,1e-08
141,390,36,1e-08
142,2226,847,1e-08
143,304,7,1e-08
144,375,96,1e-08
145,904,322,1e-08
146,303,55,1e-08
147,1106,326,1e-08
148,553,6,1e-08
149,894,304,1e-08
150,651,255,1e-08
151,512,138,1e-08
152,224,51,1e-08
153,51,37,1e-08
154,1411,653,1e-08
155,64,18,1e-08
156,201,31,1e-08
157,317,11,1e-08
158,480,194,1e-08
159,747,280,1e-08
160,191,67,1e-08
161,901,318,1e-08
162,414,62,1e-08
163,19,9,1e-08
164,870,261,1e-08
165,295,9,1e-08
166,907,288,1e-08
167,1073,280,1e-08
168,222,100,1e-08
169,1751,717,1e-08
170,95,66,1e-08
171,53,43,1e-08
172,826,229,1e-08
173,347,102,1e-08
174,215,106,1e-08
175,76,38,1e-08
176,15,8,1e-08
177,42,23,1e-08
178,265,25,1e-08
179,1104,226,1e-08
180,271,34,1e-08
181,593,300,1e-08
182,461,70,1e-08
183,218,23,1e-08
184,381,119,1e-08
185,52,39,1e-08
186,132,81,1e-08
187,311,149,1e-08
188,202,12,1e-08
189,206,7,1e-08
190,250,12,1e-08
191,327,186,1e-08
192,912,354,1e-08
193,224,42,1e-08
194,250,10,1e-08
195,764,199,1e-08
196,413,89,1e-08
197,114,69,1e-08
198,750,258,1e-08
199,789,323,1e-08
200,301,18,1e-08
201,337,94,1e-08
202,316,56,1e-08
203,836,50,1e-08
204,596,70,1e-08
205,448,56,1e-08
206,303,10,1e-08
207,2637,798,1e-08
208,904,196,1e-08
209,2130,1177,1e-08
210,335,106,1e-08
211,52,49,1e-08
212,1149,132,1e-08
213,335,149,1e-08
214,275,49,1e-08
215,609,343,1e-08
216,1014,766,1e-08
217,712,27,1e-08
218,141,66,1e-08
219,111,54,1e-08
220,1129,826,1e-08
221,1155,1010,1e-08
222,1882,1088,1e-08
223,596,415,1e-08
224,720,390,1e-08
225,306,77,1e-08
226,256,72,1e-08
227,1369,139,1e-08
228,2067,853,1e-08
229,253,53,1e-08
230,870,134,1e-08
231,434,140,1e-08
232,704,583,1e-08
233,220,65,1e-08
234,1143,506,1e-08
235,141,80,1e-08
236,47,30,1e-08
237,1475,1015,1e-08
238,280,161,1e-08
239,443,308,1e-08
240,1452,996,1e-08
241,471,248,1e-08
242,189,123,1e-08
243,268,51,1e-08
244,280,188,1e-08
245,160,123,1e-08
246,1067,487,1e-08
247,528,183,1e-08
248,317,236,1e-08
249,181,78,1e-08
250,180,35,1e-08
251,672,291,1e-08
252,103,74,1e-08
253,190,113,1e-08
254,94,69,1e-08
255,303,85,1e-08
256,653,137,1e-08
257,448,115,1e-08
258,250,40,1e-08
259,441,292,1e-08
260,544,296,1e-08
261,38,15,1e-08
262,122,36,1e-08
263,422,52,1e-08
264,965,413,1e-08
265,103,50,1e-08
266,155,119,1e-08
267,94,59,1e-08
268,382,187,1e-08
269,851,160,1e-08
270,249,158,1e-08
271,1981,1174,1e-08
272,556,185,1e-08
273,386,309,1e-08
274,517,373,1e-08
